Source,Target,Type,id,weight
Naomi Watts,Eddie Marsan,Directed,18,1.0
Eddie Marsan,Naomi Watts,Directed,20,1.0
Harrison Ford,Robert Duvall,Directed,217,1.0
Robert Duvall,Harrison Ford,Directed,220,1.0
Scarlett Johansson,Robert Downey Jr.,Directed,264,3.0
Robert Downey Jr.,Scarlett Johansson,Directed,266,3.0
Morgan Freeman,Christian Bale,Directed,292,2.0
Morgan Freeman,Liam Neeson,Directed,293,1.0
Christian Bale,Morgan Freeman,Directed,294,2.0
Christian Bale,Liam Neeson,Directed,295,1.0
Liam Neeson,Morgan Freeman,Directed,296,1.0
Liam Neeson,Christian Bale,Directed,297,1.0
Gary Oldman,Anthony Hopkins,Directed,442,1.0
Anthony Hopkins,Gary Oldman,Directed,444,1.0
Jim Broadbent,Robert De Niro,Directed,455,1.0
Robert De Niro,Jim Broadbent,Directed,458,1.0
Leonardo DiCaprio,Tom Hanks,Directed,534,1.0
Tom Hanks,Leonardo DiCaprio,Directed,536,1.0
Jim Broadbent,Tom Hanks,Directed,571,1.0
Tom Hanks,Jim Broadbent,Directed,574,1.0
Johnny Depp,Al Pacino,Directed,718,1.0
Al Pacino,Johnny Depp,Directed,720,1.0
Philip Seymour Hoffman,Meryl Streep,Directed,730,1.0
Meryl Streep,Philip Seymour Hoffman,Directed,732,1.0
Johnny Depp,Bill Murray,Directed,754,1.0
Bill Murray,Johnny Depp,Directed,756,1.0
Bill Murray,Meryl Streep,Directed,832,1.0
Meryl Streep,Bill Murray,Directed,834,1.0
Kate Winslet,Johnny Depp,Directed,865,1.0
Johnny Depp,Kate Winslet,Directed,867,1.0
Liam Neeson,Jim Broadbent,Directed,922,1.0
Liam Neeson,Leonardo DiCaprio,Directed,923,1.0
Jim Broadbent,Liam Neeson,Directed,924,1.0
Jim Broadbent,Leonardo DiCaprio,Directed,925,1.0
Leonardo DiCaprio,Liam Neeson,Directed,926,1.0
Leonardo DiCaprio,Jim Broadbent,Directed,927,1.0
Kevin Spacey,Al Pacino,Directed,967,1.0
Al Pacino,Kevin Spacey,Directed,969,1.0
Denzel Washington,Morgan Freeman,Directed,973,4.0
Morgan Freeman,Denzel Washington,Directed,975,4.0
Brad Pitt,Tom Cruise,Directed,1225,1.0
