id,label,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Leonardo DiCaprio,Leonardo DiCaprio,18,5.0,0.4,0.49710144927536215,400.2380952380952,0
Robert Downey Jr.,Robert Downey Jr.,10,5.0,0.368,0.43369565217391287,228.78333333333333,3
Tom Hanks,Tom Hanks,12,5.0,0.38333333333333336,0.4590579710144927,168.6,1
John Ratzenberger,John Ratzenberger,4,5.0,0.3006535947712418,0.34420289855072467,12.666666666666668,1
Christian Bale,Christian Bale,16,5.0,0.38333333333333336,0.47536231884057967,243.10000000000002,2
Tom Cruise,Tom Cruise,2,6.0,0.2822085889570552,0.3173913043478261,0.0,4
Scarlett Johansson,Scarlett Johansson,8,5.0,0.359375,0.4253623188405797,120.61904761904763,3
Gary Oldman,Gary Oldman,8,5.0,0.3194444444444444,0.3840579710144927,61.05,4
Brad Pitt,Brad Pitt,14,5.0,0.3898305084745763,0.4753623188405797,417.02142857142854,4
Matt Damon,Matt Damon,8,5.0,0.3484848484848485,0.4144927536231884,145.33333333333331,1
Johnny Depp,Johnny Depp,8,4.0,0.37398373983739835,0.43297101449275366,164.2571428571429,0
Hugh Jackman,Hugh Jackman,8,5.0,0.32857142857142857,0.3909420289855072,70.86904761904763,3
Denzel Washington,Denzel Washington,6,5.0,0.3333333333333333,0.38550724637681155,44.816666666666656,2
Bruce Willis,Bruce Willis,6,5.0,0.3333333333333333,0.38985507246376805,76.81666666666666,2
Jeff Bridges,Jeff Bridges,10,5.0,0.359375,0.42826086956521736,214.38333333333333,1
Al Pacino,Al Pacino,10,5.0,0.34074074074074073,0.4108695652173912,161.80000000000004,4
Morgan Freeman,Morgan Freeman,12,4.0,0.39655172413793105,0.4673913043478261,201.552380952381,2
Philip Seymour Hoffman,Philip Seymour Hoffman,12,4.0,0.3898305084745763,0.4601449275362318,311.15,1
Jim Broadbent,Jim Broadbent,10,4.0,0.40707964601769914,0.4673913043478261,220.06904761904755,3
Robert De Niro,Robert De Niro,10,4.0,0.3865546218487395,0.4492753623188405,290.5761904761905,4
Kevin Spacey,Kevin Spacey,4,5.0,0.2857142857142857,0.3300724637681159,11.833333333333334,0
Harrison Ford,Harrison Ford,2,6.0,0.23115577889447236,0.2590579710144926,0.0,4
Naomi Watts,Naomi Watts,4,6.0,0.24468085106382978,0.28514492753623183,10.9,3
Bill Murray,Bill Murray,12,4.0,0.38016528925619836,0.4492753623188405,280.9523809523809,3
Kate Winslet,Kate Winslet,8,5.0,0.323943661971831,0.3880434782608696,78.36666666666665,0
Jake Gyllenhaal,Jake Gyllenhaal,4,6.0,0.2893081761006289,0.33405797101449275,9.466666666666667,3
Anthony Hopkins,Anthony Hopkins,8,5.0,0.3087248322147651,0.3739130434782609,103.94999999999999,4
Robert Duvall,Robert Duvall,6,5.0,0.2987012987012987,0.3507246376811594,90.0,4
Liam Neeson,Liam Neeson,8,4.0,0.38333333333333336,0.4420289855072463,77.47142857142858,2
Meryl Streep,Meryl Streep,6,5.0,0.3382352941176471,0.3902173913043478,75.60000000000001,1
Eddie Marsan,Eddie Marsan,4,6.0,0.27710843373493976,0.3202898550724637,46.300000000000004,3
